,contractID,symbol,expiration,date,strike,type,last,mark,bid,ask,volume,open_interest,implied_volatility
75,IBM241025C00240000,IBM,2024-10-25,2024-10-25,240.00,call,0.01,0.01,0.00,0.01,83,1223,0.78887
76,IBM241025P00240000,IBM,2024-10-25,2024-10-25,240.00,put,25.00,25.27,24.20,26.35,2,55,0.94691
77,IBM241025C00242500,IBM,2024-10-25,2024-10-25,242.50,call,0.01,0.01,0.00,0.01,114,734,0.85411
78,IBM241025P00242500,IBM,2024-10-25,2024-10-25,242.50,put,0.00,27.77,26.70,28.85,0,0,1.04037
79,IBM241025C00245000,IBM,2024-10-25,2024-10-25,245.00,call,0.01,0.01,0.00,0.01,35,1769,0.91813
80,IBM241025P00245000,IBM,2024-10-25,2024-10-25,245.00,put,0.00,30.52,29.25,31.80,0,1,1.38230
81,IBM241025C00247500,IBM,2024-10-25,2024-10-25,247.50,call,0.01,0.01,0.00,0.22,10,344,0.98109
82,IBM241025P00247500,IBM,2024-10-25,2024-10-25,247.50,put,0.00,33.00,31.70,34.30,0,0,1.44480
83,IBM241025C00250000,IBM,2024-10-25,2024-10-25,250.00,call,0.01,0.01,0.00,0.01,218,2376,1.04298
84,IBM241025P00250000,IBM,2024-10-25,2024-10-25,250.00,put,0.00,35.30,34.20,36.40,0,0,0.93917
85,IBM241025C00252500,IBM,2024-10-25,2024-10-25,252.50,call,0.01,0.01,0.00,0.01,13,726,1.10380
86,IBM241025P00252500,IBM,2024-10-25,2024-10-25,252.50,put,0.00,37.62,35.95,39.30,0,2,1.41420
87,IBM241025C00255000,IBM,2024-10-25,2024-10-25,255.00,call,0.01,0.01,0.00,0.01,66,1032,1.16386
88,IBM241025P00255000,IBM,2024-10-25,2024-10-25,255.00,put,0.00,39.95,38.45,41.45,0,0,1.50765
89,IBM241025C00257500,IBM,2024-10-25,2024-10-25,257.50,call,0.01,0.01,0.00,0.01,0,359,1.22285
90,IBM241025P00257500,IBM,2024-10-25,2024-10-25,257.50,put,0.00,42.73,40.95,44.50,0,2,1.60111
91,IBM241025C00260000,IBM,2024-10-25,2024-10-25,260.00,call,0.01,0.01,0.00,0.01,13,750,1.28108
92,IBM241025P00260000,IBM,2024-10-25,2024-10-25,260.00,put,0.00,45.23,43.45,47.00,0,0,1.69457
93,IBM241025C00262500,IBM,2024-10-25,2024-10-25,262.50,call,0.01,0.01,0.00,0.01,1,666,1.33840
94,IBM241025P00262500,IBM,2024-10-25,2024-10-25,262.50,put,0.00,47.73,45.95,49.50,0,0,1.78803
95,IBM241025C00265000,IBM,2024-10-25,2024-10-25,265.00,call,0.01,0.01,0.00,0.01,10,292,1.39495
96,IBM241025P00265000,IBM,2024-10-25,2024-10-25,265.00,put,0.00,50.12,48.45,51.80,0,0,1.88148
97,IBM241025C00267500,IBM,2024-10-25,2024-10-25,267.50,call,0.01,0.01,0.00,0.01,0,723,1.45074
98,IBM241025P00267500,IBM,2024-10-25,2024-10-25,267.50,put,0.00,52.60,50.95,54.25,0,0,1.97494
99,IBM241025C00270000,IBM,2024-10-25,2024-10-25,270.00,call,0.01,0.01,0.00,0.01,1,552,1.50577
100,IBM241025P00270000,IBM,2024-10-25,2024-10-25,270.00,put,0.00,55.12,53.45,56.80,0,0,2.06840
101,IBM241025C00272500,IBM,2024-10-25,2024-10-25,272.50,call,0.06,0.01,0.00,0.01,0,352,1.56019
102,IBM241025P00272500,IBM,2024-10-25,2024-10-25,272.50,put,0.00,57.73,55.95,59.50,0,0,2.16186
103,IBM241025C00275000,IBM,2024-10-25,2024-10-25,275.00,call,0.01,0.01,0.00,0.01,5,179,1.61385
104,IBM241025P00275000,IBM,2024-10-25,2024-10-25,275.00,put,0.00,60.38,59.20,61.55,0,0,2.02954
105,IBM241025C00277500,IBM,2024-10-25,2024-10-25,277.50,call,0.02,0.01,0.00,0.01,0,140,1.66690
106,IBM241025P00277500,IBM,2024-10-25,2024-10-25,277.50,put,0.00,62.73,60.95,64.50,0,0,2.34877
107,IBM241025C00280000,IBM,2024-10-25,2024-10-25,280.00,call,0.01,0.01,0.00,0.01,0,722,1.71918
108,IBM241025P00280000,IBM,2024-10-25,2024-10-25,280.00,put,0.00,65.22,63.45,67.00,0,0,2.44223
109,IBM241025C00285000,IBM,2024-10-25,2024-10-25,285.00,call,0.01,0.01,0.00,0.21,0,19,1.82192
110,IBM241025P00285000,IBM,2024-10-25,2024-10-25,285.00,put,0.00,70.05,68.45,71.65,0,0,2.62914
111,IBM241025C00290000,IBM,2024-10-25,2024-10-25,290.00,call,0.01,0.01,0.00,0.01,0,10,1.92238
112,IBM241025P00290000,IBM,2024-10-25,2024-10-25,290.00,put,0.00,75.22,73.45,77.00,0,0,2.81606
113,IBM241025C00295000,IBM,2024-10-25,2024-10-25,295.00,call,0.00,0.01,0.00,0.21,0,0,2.02055
114,IBM241025P00295000,IBM,2024-10-25,2024-10-25,295.00,put,0.00,80.38,79.20,81.55,0,0,2.52450
115,IBM241025C00300000,IBM,2024-10-25,2024-10-25,300.00,call,0.00,0.01,0.00,0.01,0,0,2.11643
116,IBM241025P00300000,IBM,2024-10-25,2024-10-25,300.00,put,0.00,85.12,83.45,86.80,0,0,3.18989
117,IBM241025C00305000,IBM,2024-10-25,2024-10-25,305.00,call,0.01,0.01,0.00,0.01,0,26,2.21048
118,IBM241025P00305000,IBM,2024-10-25,2024-10-25,305.00,put,89.66,90.22,88.45,92.00,2,0,3.37680
119,IBM241101C00105000,IBM,2024-11-01,2024-10-25,105.00,call,0.00,110.43,109.20,111.65,0,0,2.75513
120,IBM241101P00105000,IBM,2024-11-01,2024-10-25,105.00,put,0.00,0.01,0.00,0.01,0,0,1.67924
121,IBM241101C00110000,IBM,2024-11-01,2024-10-25,110.00,call,0.00,105.45,104.25,106.65,0,0,2.60529
122,IBM241101P00110000,IBM,2024-11-01,2024-10-25,110.00,put,0.00,0.01,0.00,0.01,0,0,1.57589
123,IBM241101C00115000,IBM,2024-11-01,2024-10-25,115.00,call,0.00,99.85,98.80,100.90,0,0,1.79296
124,IBM241101P00115000,IBM,2024-11-01,2024-10-25,115.00,put,0.00,0.01,0.00,0.01,0,0,1.47681
125,IBM241101C00120000,IBM,2024-11-01,2024-10-25,120.00,call,0.00,94.93,93.20,96.65,0,0,1.83061
126,IBM241101P00120000,IBM,2024-11-01,2024-10-25,120.00,put,0.00,0.01,0.00,0.62,0,0,1.38199
127,IBM241101C00125000,IBM,2024-11-01,2024-10-25,125.00,call,0.00,89.93,88.15,91.70,0,0,1.70668
128,IBM241101P00125000,IBM,2024-11-01,2024-10-25,125.00,put,0.00,0.01,0.00,0.37,0,0,1.29069
129,IBM241101C00130000,IBM,2024-11-01,2024-10-25,130.00,call,0.00,85.10,83.50,86.70,0,0,1.77695
130,IBM241101P00130000,IBM,2024-11-01,2024-10-25,130.00,put,0.00,0.01,0.00,0.37,0,0,1.20288
131,IBM241101C00135000,IBM,2024-11-01,2024-10-25,135.00,call,0.00,80.00,78.30,81.70,0,0,1.55973
132,IBM241101P00135000,IBM,2024-11-01,2024-10-25,135.00,put,0.00,0.01,0.00,0.62,0,0,1.11813
133,IBM241101C00140000,IBM,2024-11-01,2024-10-25,140.00,call,0.00,74.95,73.20,76.70,0,0,1.38916
134,IBM241101P00140000,IBM,2024-11-01,2024-10-25,140.00,put,0.00,0.01,0.00,0.37,0,0,1.03627
135,IBM241101C00145000,IBM,2024-11-01,2024-10-25,145.00,call,70.45,69.97,68.70,71.25,1,0,1.30471
136,IBM241101P00145000,IBM,2024-11-01,2024-10-25,145.00,put,0.00,0.01,0.00,0.75,0,0,0.95700
137,IBM241101C00150000,IBM,2024-11-01,2024-10-25,150.00,call,0.00,65.05,63.40,66.70,0,0,1.27300
138,IBM241101P00150000,IBM,2024-11-01,2024-10-25,150.00,put,0.00,0.01,0.00,0.37,0,0,0.88018
139,IBM241101C00155000,IBM,2024-11-01,2024-10-25,155.00,call,0.00,59.92,58.90,60.95,0,0,1.04145
140,IBM241101P00155000,IBM,2024-11-01,2024-10-25,155.00,put,0.00,0.01,0.00,0.75,0,0,0.80564
141,IBM241101C00160000,IBM,2024-11-01,2024-10-25,160.00,call,0.00,54.92,53.90,55.95,0,0,0.94542
142,IBM241101P00160000,IBM,2024-11-01,2024-10-25,160.00,put,0.00,0.01,0.00,0.38,0,0,0.73292
143,IBM241101C00165000,IBM,2024-11-01,2024-10-25,165.00,call,0.00,50.05,49.20,50.90,0,0,0.96508
144,IBM241101P00165000,IBM,2024-11-01,2024-10-25,165.00,put,0.00,0.01,0.00,0.95,0,0,0.66219
145,IBM241101C00170000,IBM,2024-11-01,2024-10-25,170.00,call,44.53,44.90,43.25,46.55,0,5,0.73735
146,IBM241101P00170000,IBM,2024-11-01,2024-10-25,170.00,put,0.00,0.01,0.00,0.58,0,12,0.59299
147,IBM241101C00175000,IBM,2024-11-01,2024-10-25,175.00,call,0.00,39.67,38.35,41.00,0,0,0.37075
148,IBM241101P00175000,IBM,2024-11-01,2024-10-25,175.00,put,0.00,0.01,0.00,0.62,0,8,0.52546
149,IBM241101C00180000,IBM,2024-11-01,2024-10-25,180.00,call,47.10,35.17,33.60,36.75,0,1,0.73582
150,IBM241101P00180000,IBM,2024-11-01,2024-10-25,180.00,put,0.00,0.01,0.00,0.25,0,24,0.45915
151,IBM241101C00185000,IBM,2024-11-01,2024-10-25,185.00,call,49.63,30.18,29.35,31.00,0,1,0.64268
152,IBM241101P00185000,IBM,2024-11-01,2024-10-25,185.00,put,0.00,0.01,0.00,0.38,0,75,0.39406
153,IBM241101C00190000,IBM,2024-11-01,2024-10-25,190.00,call,43.32,24.75,23.35,26.15,0,2,0.23056
154,IBM241101P00190000,IBM,2024-11-01,2024-10-25,190.00,put,0.03,0.01,0.00,0.25,15,27,0.32989
155,IBM241101C00195000,IBM,2024-11-01,2024-10-25,195.00,call,23.67,20.80,19.60,22.00,0,39,0.58796
156,IBM241101P00195000,IBM,2024-11-01,2024-10-25,195.00,put,0.09,0.11,0.02,0.20,7,186,0.36586
157,IBM241101C00197500,IBM,2024-11-01,2024-10-25,197.50,call,20.18,17.77,16.90,18.65,0,5,0.42592
158,IBM241101P00197500,IBM,2024-11-01,2024-10-25,197.50,put,0.28,0.15,0.03,0.26,13,108,0.34360
159,IBM241101C00200000,IBM,2024-11-01,2024-10-25,200.00,call,18.80,14.85,14.30,15.40,0,17,0.13710
160,IBM241101P00200000,IBM,2024-11-01,2024-10-25,200.00,put,0.11,0.10,0.08,0.11,117,572,0.27943
161,IBM241101C00202500,IBM,2024-11-01,2024-10-25,202.50,call,15.90,12.43,11.80,13.05,0,2,0.22562
162,IBM241101P00202500,IBM,2024-11-01,2024-10-25,202.50,put,0.14,0.23,0.12,0.34,17,45,0.28233
163,IBM241101C00205000,IBM,2024-11-01,2024-10-25,205.00,call,13.50,9.95,9.65,10.25,14,22,0.19361
164,IBM241101P00205000,IBM,2024-11-01,2024-10-25,205.00,put,0.20,0.22,0.20,0.24,259,418,0.23339
165,IBM241101C00207500,IBM,2024-11-01,2024-10-25,207.50,call,9.72,8.18,7.50,8.85,1,5,0.27958
166,IBM241101P00207500,IBM,2024-11-01,2024-10-25,207.50,put,0.36,0.38,0.35,0.41,123,167,0.21617
167,IBM241101C00210000,IBM,2024-11-01,2024-10-25,210.00,call,5.90,5.83,5.40,6.25,24,602,0.23339
168,IBM241101P00210000,IBM,2024-11-01,2024-10-25,210.00,put,0.73,0.68,0.66,0.70,532,1115,0.20093
169,IBM241101C00212500,IBM,2024-11-01,2024-10-25,212.50,call,3.65,4.35,3.35,5.35,173,17,0.25611
170,IBM241101P00212500,IBM,2024-11-01,2024-10-25,212.50,put,1.33,1.34,1.25,1.44,4306,199,0.19803
171,IBM241101C00215000,IBM,2024-11-01,2024-10-25,215.00,call,2.13,2.29,2.08,2.49,841,89,0.19849
172,IBM241101P00215000,IBM,2024-11-01,2024-10-25,215.00,put,2.30,2.29,2.20,2.38,2399,2179,0.18751
173,IBM241101C00217500,IBM,2024-11-01,2024-10-25,217.50,call,1.06,1.11,1.08,1.15,1617,480,0.18233
174,IBM241101P00217500,IBM,2024-11-01,2024-10-25,217.50,put,3.85,3.60,3.30,3.90,642,416,0.16922
175,IBM241101C00220000,IBM,2024-11-01,2024-10-25,220.00,call,0.52,0.53,0.49,0.57,4049,905,0.18400
176,IBM241101P00220000,IBM,2024-11-01,2024-10-25,220.00,put,5.54,5.78,5.65,5.90,569,832,0.19940
177,IBM241101C00222500,IBM,2024-11-01,2024-10-25,222.50,call,0.24,0.17,0.07,0.26,5525,358,0.17318
178,IBM241101P00222500,IBM,2024-11-01,2024-10-25,222.50,put,7.65,8.05,7.80,8.30,66,412,0.22135
179,IBM241101C00225000,IBM,2024-11-01,2024-10-25,225.00,call,0.11,0.12,0.11,0.14,995,872,0.19955
180,IBM241101P00225000,IBM,2024-11-01,2024-10-25,225.00,put,9.73,9.93,9.35,10.50,142,249,0.09654
181,IBM241101C00227500,IBM,2024-11-01,2024-10-25,227.50,call,0.13,0.09,0.05,0.13,120,216,0.22486
182,IBM241101P00227500,IBM,2024-11-01,2024-10-25,227.50,put,9.20,12.62,12.05,13.20,11,42,0.12760
183,IBM241101C00230000,IBM,2024-11-01,2024-10-25,230.00,call,0.06,0.01,0.00,0.10,260,1054,0.19239
184,IBM241101P00230000,IBM,2024-11-01,2024-10-25,230.00,put,15.10,14.97,14.25,15.70,83,147,0.14327
185,IBM241101C00232500,IBM,2024-11-01,2024-10-25,232.50,call,0.02,0.03,0.01,0.04,13,664,0.24986
186,IBM241101P00232500,IBM,2024-11-01,2024-10-25,232.50,put,14.12,17.52,16.85,18.20,4,62,0.16663
187,IBM241101C00235000,IBM,2024-11-01,2024-10-25,235.00,call,0.03,0.05,0.02,0.07,123,715,0.29864
188,IBM241101P00235000,IBM,2024-11-01,2024-10-25,235.00,put,20.21,20.18,19.60,20.75,48,40,0.31205
189,IBM241101C00237500,IBM,2024-11-01,2024-10-25,237.50,call,0.08,0.01,0.00,0.15,26,166,0.27120
190,IBM241101P00237500,IBM,2024-11-01,2024-10-25,237.50,put,0.00,23.02,22.35,23.70,0,0,0.47409
191,IBM241101C00240000,IBM,2024-11-01,2024-10-25,240.00,call,0.02,0.01,0.00,0.07,26,842,0.29635
192,IBM241101P00240000,IBM,2024-11-01,2024-10-25,240.00,put,24.83,25.40,24.90,25.90,16,18,0.47729
193,IBM241101C00242500,IBM,2024-11-01,2024-10-25,242.50,call,0.01,0.01,0.00,0.01,0,75,0.32089
194,IBM241101P00242500,IBM,2024-11-01,2024-10-25,242.50,put,26.75,27.68,26.00,29.35,8,6,0.40808
195,IBM241101C00245000,IBM,2024-11-01,2024-10-25,245.00,call,0.02,0.01,0.00,0.04,7,188,0.34513
196,IBM241101P00245000,IBM,2024-11-01,2024-10-25,245.00,put,29.85,30.00,28.55,31.45,6,0,0.28346
197,IBM241101C00247500,IBM,2024-11-01,2024-10-25,247.50,call,0.01,0.01,0.00,0.01,0,153,0.36891
198,IBM241101P00247500,IBM,2024-11-01,2024-10-25,247.50,put,0.00,32.75,31.80,33.70,0,1,0.51662
199,IBM241101C00250000,IBM,2024-11-01,2024-10-25,250.00,call,0.01,0.01,0.00,0.01,167,1597,0.39238
200,IBM241101P00250000,IBM,2024-11-01,2024-10-25,250.00,put,34.81,35.30,34.25,36.35,64,50,0.57439
201,IBM241101C00252500,IBM,2024-11-01,2024-10-25,252.50,call,0.03,0.01,0.00,0.35,0,68,0.41540
202,IBM241101P00252500,IBM,2024-11-01,2024-10-25,252.50,put,37.33,37.75,36.15,39.35,12,0,0.57942
203,IBM241101C00255000,IBM,2024-11-01,2024-10-25,255.00,call,0.12,0.01,0.00,0.01,32,1215,0.43811
204,IBM241101P00255000,IBM,2024-11-01,2024-10-25,255.00,put,0.00,40.27,38.90,41.65,0,0,0.62180
205,IBM241101C00257500,IBM,2024-11-01,2024-10-25,257.50,call,0.17,0.01,0.00,0.01,1,31,0.46037
206,IBM241101P00257500,IBM,2024-11-01,2024-10-25,257.50,put,0.00,42.70,40.95,44.45,0,0,0.60564
207,IBM241101C00260000,IBM,2024-11-01,2024-10-25,260.00,call,0.11,0.01,0.00,0.01,15,107,0.48232
208,IBM241101P00260000,IBM,2024-11-01,2024-10-25,260.00,put,0.00,45.08,43.45,46.70,0,0,0.42364
209,IBM241101C00262500,IBM,2024-11-01,2024-10-25,262.50,call,0.48,0.01,0.00,0.01,0,32,0.50412
210,IBM241101P00262500,IBM,2024-11-01,2024-10-25,262.50,put,0.00,47.70,45.95,49.45,0,0,0.66357
211,IBM241101C00265000,IBM,2024-11-01,2024-10-25,265.00,call,0.01,0.01,0.00,0.37,0,52,0.52546
212,IBM241101P00265000,IBM,2024-11-01,2024-10-25,265.00,put,0.00,49.70,48.50,50.90,0,0,0.47037
213,IBM241101C00267500,IBM,2024-11-01,2024-10-25,267.50,call,0.25,0.01,0.00,0.37,0,10,0.54650
214,IBM241101P00267500,IBM,2024-11-01,2024-10-25,267.50,put,0.00,52.30,50.95,53.65,0,0,0.49374
215,IBM241101C00270000,IBM,2024-11-01,2024-10-25,270.00,call,0.34,0.01,0.00,0.53,0,325,0.56738
216,IBM241101P00270000,IBM,2024-11-01,2024-10-25,270.00,put,0.00,54.65,53.45,55.85,0,0,0.51710
217,IBM241101C00272500,IBM,2024-11-01,2024-10-25,272.50,call,0.12,0.01,0.00,0.57,0,43,0.58796
218,IBM241101P00272500,IBM,2024-11-01,2024-10-25,272.50,put,0.00,57.67,56.25,59.10,0,0,0.74695
219,IBM241101C00275000,IBM,2024-11-01,2024-10-25,275.00,call,0.10,0.01,0.00,0.75,0,24,0.60823
220,IBM241101P00275000,IBM,2024-11-01,2024-10-25,275.00,put,0.00,60.38,58.75,62.00,0,0,0.91722
221,IBM241101C00280000,IBM,2024-11-01,2024-10-25,280.00,call,0.07,0.01,0.00,0.20,1,29,0.64802
222,IBM241101P00280000,IBM,2024-11-01,2024-10-25,280.00,put,0.00,65.20,63.45,66.95,0,0,0.85640
223,IBM241101C00285000,IBM,2024-11-01,2024-10-25,285.00,call,0.00,0.01,0.00,0.37,0,0,0.68689
224,IBM241101P00285000,IBM,2024-11-01,2024-10-25,285.00,put,0.00,70.10,68.60,71.60,0,0,0.77225
225,IBM241101C00290000,IBM,2024-11-01,2024-10-25,290.00,call,0.00,0.01,0.00,0.70,0,0,0.72485
226,IBM241101P00290000,IBM,2024-11-01,2024-10-25,290.00,put,0.00,75.07,73.60,76.55,0,0,0.71478
227,IBM241101C00295000,IBM,2024-11-01,2024-10-25,295.00,call,0.00,0.01,0.00,0.24,0,0,0.76189
